


Gadgets
=======


0x000a1713: aad 0x81; ret 0x465; 
0x0005acae: aad 0x83; ret 0x3901; 
0x000a3f59: aad 0x83; ret 0x8301; 
0x000f77ed: aad 0x83; ret 0xf01; 
0x00074ea7: aad 0xe8; ret; 
0x0010b701: adc al, 0x24; ret; 
0x000eb552: adc al, 0x29; ret 0x5489; 
0x000b46c7: adc al, 0x29; ret; 
0x0005bc90: adc al, 0x39; ret 0x1872; 
0x0005bde0: adc al, 0x39; ret 0x187c; 
0x0008ef36: adc al, 0x39; ret 0x8d0f; 
0x001252e1: adc al, 0x41; ret; 
0x00029f1f: adc al, 0x5b; ret; 
0x0006053b: adc al, 0x77; ret 0xf631; 
0x0003e2d4: adc al, 0x83; ret 0x3104; 
0x000c5b9a: adc al, 0x83; ret 0x8301; 
0x000f974b: adc al, 0x83; ret 0x8501; 
0x000a6626: adc al, 0x89; ret 0x448b; 
0x000a6706: adc al, 0x89; ret 0x838d; 
0x0005574f: adc al, 0x89; ret 0xc889; 
0x00108d1f: adc al, 0x89; ret 0xf039; 
0x00044c4a: adc al, 0x89; ret 0xf089; 
0x000dab2f: adc al, 0xe8; ret; 
0x000311ad: adc al, 0xe9; ret 0xfffd; 
0x000aabbf: adc al, 0xe9; ret 0xfffe; 
0x000f163c: adc al, 0xe9; ret; 
0x00051b5a: adc al, 0xeb; ret 0x688b; 
0x00104975: adc al, 0xf6; ret 0x7501; 
0x0008222f: adc al, 1; ret 0x5439; 
0x0004ba84: adc al, 1; ret 0x5489; 
0x00067b0f: adc al, 1; ret 0x7a8d; 
0x00031960: adc al, 1; ret 0xb60f; 
0x0004b558: adc al, byte ptr [ecx]; ret 0xcfc1; 
0x000b6330: adc al, ch; ret 0x553; 
0x00095930: adc al, ch; ret 0x75d; 
0x000579d8: adc al, ch; ret 0xfff9; 
0x000a6a6f: adc al, ch; ret 0xfffa; 
0x0003522f: adc al, ch; ret; 
0x0005c989: adc bh, byte ptr [ecx]; ret 0x3f74; 
0x00058233: adc byte ptr [eax + 0xe], bh; ret; 
0x00103420: adc byte ptr [eax - 0x76bedbac], cl; ret 0xc166; 
0x001033f8: adc byte ptr [eax - 0x76c2dbac], cl; ret 0xc166; 
0x001033d4: adc byte ptr [eax - 0x76c6dbac], cl; ret 0xc166; 
0x001033b0: adc byte ptr [eax - 0x76cadbac], cl; ret 0xc166; 
0x0010338c: adc byte ptr [eax - 0x76cedbac], cl; ret 0xc166; 
0x00103368: adc byte ptr [eax - 0x76d2dbac], cl; ret 0xc166; 
0x00005d2a: adc byte ptr [eax], al; ret 0; 
0x000636b6: adc byte ptr [ebp + 0x1342444], cl; ret 0xc6; 
0x000a1b40: adc byte ptr [ebp + 0x1382444], cl; ret 0xc6; 
0x000b46c3: adc byte ptr [ebx + 0x2914244c], cl; ret; 
0x0005bc8c: adc byte ptr [ebx + 0x39142444], cl; ret 0x1872; 
0x0005bddc: adc byte ptr [ebx + 0x39142444], cl; ret 0x187c; 
0x0014bcf1: adc byte ptr [ebx + 0xa500204], al; ret; 
0x00143bcd: adc byte ptr [ebx + 0xa590204], al; ret; 
0x00146e49: adc byte ptr [ebx + 0xa5d0204], al; ret; 
0x0013875d: adc byte ptr [ebx + 0xa8f0204], al; ret; 
0x00142081: adc byte ptr [ebx + 0xaa00204], al; ret; 
0x00142221: adc byte ptr [ebx + 0xaf60204], al; ret; 
0x0002a3c4: adc byte ptr [ecx + 0x72], 1; ret; 
0x0004842b: adc byte ptr [ecx + 0xce8243c], cl; ret; 
0x0008024b: adc byte ptr [ecx - 0x165a0c2a], cl; ret; 
0x000b491d: adc byte ptr [ecx - 0x7cb7dbb4], cl; ret 0x8b04; 
0x000e0b34: adc byte ptr [ecx], al; ret 0xf929; 
0x000fe981: adc byte ptr [ecx], bh; ret 0x3273; 
0x00044bdf: adc byte ptr [ecx], bh; ret 0x3c77; 
0x000b4d3d: adc byte ptr [ecx], bh; ret 0x8e0f; 
0x00067ecf: adc byte ptr [ecx], ch; ret 0x5489; 
0x000ff916: adc byte ptr [ecx], ch; ret 0x8966; 
0x000c8e62: adc byte ptr [ecx], ch; ret; 
0x000a7720: adc byte ptr [ecx], cl; ret 0x428d; 
0x00071887: adc byte ptr [ecx], cl; ret 0x7a8d; 
0x0005c8a4: adc byte ptr [ecx], dh; ret 0xd089; 
0x000d80b6: adc byte ptr [ecx], dh; ret 0xf089; 
0x0010b055: adc byte ptr [edi - 0x17], al; ret 0xfff7; 
0x000ffd41: adc ch, byte ptr [ecx]; ret 0x5489; 
0x001068a4: adc ch, byte ptr [ecx]; ret 0x8966; 
0x00034202: adc cl, ch; ret 0xfffc; 
0x000406dd: adc cl, ch; ret 0xfffe; 
0x001097fc: adc dh, dh; ret 0x7402; 
0x000f450b: adc dh, dh; ret 0x7422; 
0x000519c3: adc dh, dh; ret 0xf01; 
0x000fb629: adc dh, dh; ret; 
0x000d8ddf: adc eax, 0x81000329; ret; 
0x000bd5df: adc eax, 0x810004e1; ret; 
0x000969df: adc eax, 0x8100074d; ret; 
0x00034edf: adc eax, 0x81000d68; ret; 
0x000f8820: adc esi, esi; ret 0x7407; 
0x0013ef9f: add ah, ah; ret 0xfff7; 
0x001359ff: add ah, ah; ret; 
0x0011faff: add ah, al; ret; 
0x0012c2ce: add ah, byte ptr [eax + 0xa]; ret; 
0x0012de89: add ah, byte ptr [ebp + 0xa]; ret; 
0x001324f1: add ah, byte ptr [edi + 0xa]; ret; 
0x0014794b: add ah, byte ptr [edx + 0xa]; ret; 
0x0012e59f: add ah, byte ptr [esi + 0x41100e0a]; ret; 
0x00141503: add ah, cl; ret 1; 
0x00008dd7: add ah, cl; ret; 
0x0013150b: add ah, dl; ret 0; 
0x0005b036: add al, 0; ret; 
0x000df09e: add al, 0x29; ret 0x5489; 
0x00061347: add al, 0x29; ret 0xd089; 
0x000626c1: add al, 0x29; ret 0xe2c1; 
0x000c9448: add al, 0x31; ret 0x748b; 
0x000c9454: add al, 0x31; ret 0xf089; 
0x000fb689: add al, 0x38; ret 0xf274; 
0x0003d9cf: add al, 0x39; ret 0x1073; 
0x000d6a52: add al, 0x39; ret 0x1d72; 
0x000fb65b: add al, 0x39; ret 0x2075; 
0x0003dc8c: add al, 0x39; ret 0x820f; 
0x0003c4e0: add al, 0x39; ret 0x870f; 
0x0003d8cc: add al, 0x39; ret 0x973; 
0x000f8a9c: add al, 0x39; ret 0xf377; 
0x0002a02c: add al, 0x5b; ret; 
0x00052328: add al, 0x5e; ret; 
0x0010a9ac: add al, 0x75; ret 0xb4e9; 
0x00136013: add al, 0x77; ret; 
